LocationID,Province,City
75,Tỉnh Tuyên Quang,Huyện Yên Sơn
76,Tỉnh Tuyên Quang,Huyện Sơn Dương
80,Tỉnh Lào Cai,Thành phố Lào Cai
82,Tỉnh Lào Cai,Huyện Bát Xát
83,Tỉnh Lào Cai,Huyện Mường Khương
84,Tỉnh Lào Cai,Huyện Si Ma Cai
85,Tỉnh Lào Cai,Huyện Bắc Hà
86,Tỉnh Lào Cai,Huyện Bảo Thắng
87,Tỉnh Lào Cai,Huyện Bảo Yên
88,Tỉnh Lào Cai,Thị xã Sa Pa
89,Tỉnh Lào Cai,Huyện Văn Bàn
94,Tỉnh Điện Biên,Thành phố Điện Biên Phủ
95,Tỉnh Điện Biên,Thị Xã Mường Lay
96,Tỉnh Điện Biên,Huyện Mường Nhé
97,Tỉnh Điện Biên,Huyện Mường Chà
98,Tỉnh Điện Biên,Huyện Tủa Chùa
99,Tỉnh Điện Biên,Huyện Tuần Giáo
100,Tỉnh Điện Biên,Huyện Điện Biên
101,Tỉnh Điện Biên,Huyện Điện Biên Đông
102,Tỉnh Điện Biên,Huyện Mường Ảng
103,Tỉnh Điện Biên,Huyện Nậm Pồ
105,Tỉnh Lai Châu,Thành phố Lai Châu
106,Tỉnh Lai Châu,Huyện Tam Đường
107,Tỉnh Lai Châu,Huyện Mường Tè
108,Tỉnh Lai Châu,Huyện Sìn Hồ
109,Tỉnh Lai Châu,Huyện Phong Thổ
110,Tỉnh Lai Châu,Huyện Than Uyên
111,Tỉnh Lai Châu,Huyện Tân Uyên
112,Tỉnh Lai Châu,Huyện Nậm Nhùn
116,Tỉnh Sơn La,Thành phố Sơn La
118,Tỉnh Sơn La,Huyện Quỳnh Nhai
119,Tỉnh Sơn La,Huyện Thuận Châu
120,Tỉnh Sơn La,Huyện Mường La
121,Tỉnh Sơn La,Huyện Bắc Yên
122,Tỉnh Sơn La,Huyện Phù Yên
123,Tỉnh Sơn La,Huyện Mộc Châu
124,Tỉnh Sơn La,Huyện Yên Châu
125,Tỉnh Sơn La,Huyện Mai Sơn
126,Tỉnh Sơn La,Huyện Sông Mã
127,Tỉnh Sơn La,Huyện Sốp Cộp
128,Tỉnh Sơn La,Huyện Vân Hồ
132,Tỉnh Yên Bái,Thành phố Yên Bái
133,Tỉnh Yên Bái,Thị xã Nghĩa Lộ
135,Tỉnh Yên Bái,Huyện Lục Yên
136,Tỉnh Yên Bái,Huyện Văn Yên
137,Tỉnh Yên Bái,Huyện Mù Căng Chải
138,Tỉnh Yên Bái,Huyện Trấn Yên
139,Tỉnh Yên Bái,Huyện Trạm Tấu
140,Tỉnh Yên Bái,Huyện Văn Chấn
141,Tỉnh Yên Bái,Huyện Yên Bình
148,Tỉnh Hoà Bình,Thành phố Hòa Bình
150,Tỉnh Hoà Bình,Huyện Đà Bắc
152,Tỉnh Hoà Bình,Huyện Lương Sơn
153,Tỉnh Hoà Bình,Huyện Kim Bôi
154,Tỉnh Hoà Bình,Huyện Cao Phong
155,Tỉnh Hoà Bình,Huyện Tân Lạc
156,Tỉnh Hoà Bình,Huyện Mai Châu
157,Tỉnh Hoà Bình,Huyện Lạc Sơn
158,Tỉnh Hoà Bình,Huyện Yên Thủy
159,Tỉnh Hoà Bình,Huyện Lạc Thủy
164,Tỉnh Thái Nguyên,Thành phố Thái Nguyên
165,Tỉnh Thái Nguyên,Thành phố Sông Công
167,Tỉnh Thái Nguyên,Huyện Định Hóa
168,Tỉnh Thái Nguyên,Huyện Phú Lương
169,Tỉnh Thái Nguyên,Huyện Đồng Hỷ
170,Tỉnh Thái Nguyên,Huyện Võ Nhai
171,Tỉnh Thái Nguyên,Huyện Đại Từ
172,Tỉnh Thái Nguyên,Thành phố Phổ Yên
173,Tỉnh Thái Nguyên,Huyện Phú Bình
178,Tỉnh Lạng Sơn,Thành phố Lạng Sơn
180,Tỉnh Lạng Sơn,Huyện Tràng Định
181,Tỉnh Lạng Sơn,Huyện Bình Gia
182,Tỉnh Lạng Sơn,Huyện Văn Lãng
183,Tỉnh Lạng Sơn,Huyện Cao Lộc
184,Tỉnh Lạng Sơn,Huyện Văn Quan
185,Tỉnh Lạng Sơn,Huyện Bắc Sơn
186,Tỉnh Lạng Sơn,Huyện Hữu Lũng
187,Tỉnh Lạng Sơn,Huyện Chi Lăng
188,Tỉnh Lạng Sơn,Huyện Lộc Bình
189,Tỉnh Lạng Sơn,Huyện Đình Lập
193,Tỉnh Quảng Ninh,Thành phố Hạ Long
194,Tỉnh Quảng Ninh,Thành phố Móng Cái
195,Tỉnh Quảng Ninh,Thành phố Cẩm Phả
196,Tỉnh Quảng Ninh,Thành phố Uông Bí
198,Tỉnh Quảng Ninh,Huyện Bình Liêu
199,Tỉnh Quảng Ninh,Huyện Tiên Yên
200,Tỉnh Quảng Ninh,Huyện Đầm Hà
201,Tỉnh Quảng Ninh,Huyện Hải Hà
202,Tỉnh Quảng Ninh,Huyện Ba Chẽ
203,Tỉnh Quảng Ninh,Huyện Vân Đồn
205,Tỉnh Quảng Ninh,Thị xã Đông Triều
206,Tỉnh Quảng Ninh,Thị xã Quảng Yên
207,Tỉnh Quảng Ninh,Huyện Cô Tô
213,Tỉnh Bắc Giang,Thành phố Bắc Giang
215,Tỉnh Bắc Giang,Huyện Yên Thế
216,Tỉnh Bắc Giang,Huyện Tân Yên
217,Tỉnh Bắc Giang,Huyện Lạng Giang
218,Tỉnh Bắc Giang,Huyện Lục Nam
219,Tỉnh Bắc Giang,Huyện Lục Ngạn
220,Tỉnh Bắc Giang,Huyện Sơn Động
221,Tỉnh Bắc Giang,Huyện Yên Dũng
222,Tỉnh Bắc Giang,Huyện Việt Yên
223,Tỉnh Bắc Giang,Huyện Hiệp Hòa
227,Tỉnh Phú Thọ,Thành phố Việt Trì
228,Tỉnh Phú Thọ,Thị xã Phú Thọ
230,Tỉnh Phú Thọ,Huyện Đoan Hùng
231,Tỉnh Phú Thọ,Huyện Hạ Hoà
232,Tỉnh Phú Thọ,Huyện Thanh Ba
233,Tỉnh Phú Thọ,Huyện Phù Ninh
234,Tỉnh Phú Thọ,Huyện Yên Lập
235,Tỉnh Phú Thọ,Huyện Cẩm Khê
236,Tỉnh Phú Thọ,Huyện Tam Nông
237,Tỉnh Phú Thọ,Huyện Lâm Thao
238,Tỉnh Phú Thọ,Huyện Thanh Sơn
239,Tỉnh Phú Thọ,Huyện Thanh Thuỷ
240,Tỉnh Phú Thọ,Huyện Tân Sơn
243,Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên
244,Tỉnh Vĩnh Phúc,Thành phố Phúc Yên
246,Tỉnh Vĩnh Phúc,Huyện Lập Thạch
247,Tỉnh Vĩnh Phúc,Huyện Tam Dương
248,Tỉnh Vĩnh Phúc,Huyện Tam Đảo
249,Tỉnh Vĩnh Phúc,Huyện Bình Xuyên
251,Tỉnh Vĩnh Phúc,Huyện Yên Lạc
252,Tỉnh Vĩnh Phúc,Huyện Vĩnh Tường
253,Tỉnh Vĩnh Phúc,Huyện Sông Lô
256,Tỉnh Bắc Ninh,Thành phố Bắc Ninh
258,Tỉnh Bắc Ninh,Huyện Yên Phong
259,Tỉnh Bắc Ninh,Huyện Quế Võ
260,Tỉnh Bắc Ninh,Huyện Tiên Du
261,Tỉnh Bắc Ninh,Thành phố Từ Sơn
262,Tỉnh Bắc Ninh,Huyện Thuận Thành
263,Tỉnh Bắc Ninh,Huyện Gia Bình
264,Tỉnh Bắc Ninh,Huyện Lương Tài
288,Tỉnh Hải Dương,Thành phố Hải Dương
290,Tỉnh Hải Dương,Thành phố Chí Linh
291,Tỉnh Hải Dương,Huyện Nam Sách
292,Tỉnh Hải Dương,Thị xã Kinh Môn
293,Tỉnh Hải Dương,Huyện Kim Thành
294,Tỉnh Hải Dương,Huyện Thanh Hà
295,Tỉnh Hải Dương,Huyện Cẩm Giàng
296,Tỉnh Hải Dương,Huyện Bình Giang
297,Tỉnh Hải Dương,Huyện Gia Lộc
298,Tỉnh Hải Dương,Huyện Tứ Kỳ
299,Tỉnh Hải Dương,Huyện Ninh Giang
300,Tỉnh Hải Dương,Huyện Thanh Miện
303,Thành phố Hải Phòng,Quận Hồng Bàng
304,Thành phố Hải Phòng,Quận Ngô Quyền
305,Thành phố Hải Phòng,Quận Lê Chân
306,Thành phố Hải Phòng,Quận Hải An
307,Thành phố Hải Phòng,Quận Kiến An
308,Thành phố Hải Phòng,Quận Đồ Sơn
309,Thành phố Hải Phòng,Quận Dương Kinh
311,Thành phố Hải Phòng,Huyện Thuỷ Nguyên
312,Thành phố Hải Phòng,Huyện An Dương
313,Thành phố Hải Phòng,Huyện An Lão
314,Thành phố Hải Phòng,Huyện Kiến Thuỵ
315,Thành phố Hải Phòng,Huyện Tiên Lãng
316,Thành phố Hải Phòng,Huyện Vĩnh Bảo
317,Thành phố Hải Phòng,Huyện Cát Hải
318,Thành phố Hải Phòng,Huyện Bạch Long Vĩ
323,Tỉnh Hưng Yên,Thành phố Hưng Yên
325,Tỉnh Hưng Yên,Huyện Văn Lâm
326,Tỉnh Hưng Yên,Huyện Văn Giang
327,Tỉnh Hưng Yên,Huyện Yên Mỹ
328,Tỉnh Hưng Yên,Thị xã Mỹ Hào
329,Tỉnh Hưng Yên,Huyện Ân Thi
330,Tỉnh Hưng Yên,Huyện Khoái Châu
331,Tỉnh Hưng Yên,Huyện Kim Động
332,Tỉnh Hưng Yên,Huyện Tiên Lữ
333,Tỉnh Hưng Yên,Huyện Phù Cừ
336,Tỉnh Thái Bình,Thành phố Thái Bình
338,Tỉnh Thái Bình,Huyện Quỳnh Phụ
339,Tỉnh Thái Bình,Huyện Hưng Hà
340,Tỉnh Thái Bình,Huyện Đông Hưng
341,Tỉnh Thái Bình,Huyện Thái Thụy
342,Tỉnh Thái Bình,Huyện Tiền Hải
343,Tỉnh Thái Bình,Huyện Kiến Xương
344,Tỉnh Thái Bình,Huyện Vũ Thư
347,Tỉnh Hà Nam,Thành phố Phủ Lý
349,Tỉnh Hà Nam,Thị xã Duy Tiên
350,Tỉnh Hà Nam,Huyện Kim Bảng
351,Tỉnh Hà Nam,Huyện Thanh Liêm
352,Tỉnh Hà Nam,Huyện Bình Lục
353,Tỉnh Hà Nam,Huyện Lý Nhân
356,Tỉnh Nam Định,Thành phố Nam Định
358,Tỉnh Nam Định,Huyện Mỹ Lộc
359,Tỉnh Nam Định,Huyện Vụ Bản
360,Tỉnh Nam Định,Huyện Ý Yên
361,Tỉnh Nam Định,Huyện Nghĩa Hưng
362,Tỉnh Nam Định,Huyện Nam Trực
363,Tỉnh Nam Định,Huyện Trực Ninh
364,Tỉnh Nam Định,Huyện Xuân Trường
365,Tỉnh Nam Định,Huyện Giao Thủy
366,Tỉnh Nam Định,Huyện Hải Hậu
369,Tỉnh Ninh Bình,Thành phố Ninh Bình
370,Tỉnh Ninh Bình,Thành phố Tam Điệp
372,Tỉnh Ninh Bình,Huyện Nho Quan
373,Tỉnh Ninh Bình,Huyện Gia Viễn
374,Tỉnh Ninh Bình,Huyện Hoa Lư
375,Tỉnh Ninh Bình,Huyện Yên Khánh
376,Tỉnh Ninh Bình,Huyện Kim Sơn
377,Tỉnh Ninh Bình,Huyện Yên Mô
380,Tỉnh Thanh Hóa,Thành phố Thanh Hóa
381,Tỉnh Thanh Hóa,Thị xã Bỉm Sơn
382,Tỉnh Thanh Hóa,Thành phố Sầm Sơn
384,Tỉnh Thanh Hóa,Huyện Mường Lát
385,Tỉnh Thanh Hóa,Huyện Quan Hóa
386,Tỉnh Thanh Hóa,Huyện Bá Thước
387,Tỉnh Thanh Hóa,Huyện Quan Sơn
388,Tỉnh Thanh Hóa,Huyện Lang Chánh
389,Tỉnh Thanh Hóa,Huyện Ngọc Lặc
390,Tỉnh Thanh Hóa,Huyện Cẩm Thủy
391,Tỉnh Thanh Hóa,Huyện Thạch Thành
392,Tỉnh Thanh Hóa,Huyện Hà Trung
393,Tỉnh Thanh Hóa,Huyện Vĩnh Lộc
394,Tỉnh Thanh Hóa,Huyện Yên Định
395,Tỉnh Thanh Hóa,Huyện Thọ Xuân
396,Tỉnh Thanh Hóa,Huyện Thường Xuân
397,Tỉnh Thanh Hóa,Huyện Triệu Sơn
398,Tỉnh Thanh Hóa,Huyện Thiệu Hóa
399,Tỉnh Thanh Hóa,Huyện Hoằng Hóa
400,Tỉnh Thanh Hóa,Huyện Hậu Lộc
401,Tỉnh Thanh Hóa,Huyện Nga Sơn
402,Tỉnh Thanh Hóa,Huyện Như Xuân
403,Tỉnh Thanh Hóa,Huyện Như Thanh
404,Tỉnh Thanh Hóa,Huyện Nông Cống
405,Tỉnh Thanh Hóa,Huyện Đông Sơn
406,Tỉnh Thanh Hóa,Huyện Quảng Xương
407,Tỉnh Thanh Hóa,Thị xã Nghi Sơn
412,Tỉnh Nghệ An,Thành phố Vinh
413,Tỉnh Nghệ An,Thị xã Cửa Lò
414,Tỉnh Nghệ An,Thị xã Thái Hoà
415,Tỉnh Nghệ An,Huyện Quế Phong
416,Tỉnh Nghệ An,Huyện Quỳ Châu
417,Tỉnh Nghệ An,Huyện Kỳ Sơn
418,Tỉnh Nghệ An,Huyện Tương Dương
419,Tỉnh Nghệ An,Huyện Nghĩa Đàn
420,Tỉnh Nghệ An,Huyện Quỳ Hợp
421,Tỉnh Nghệ An,Huyện Quỳnh Lưu
422,Tỉnh Nghệ An,Huyện Con Cuông
423,Tỉnh Nghệ An,Huyện Tân Kỳ
424,Tỉnh Nghệ An,Huyện Anh Sơn
425,Tỉnh Nghệ An,Huyện Diễn Châu
426,Tỉnh Nghệ An,Huyện Yên Thành
427,Tỉnh Nghệ An,Huyện Đô Lương
428,Tỉnh Nghệ An,Huyện Thanh Chương
429,Tỉnh Nghệ An,Huyện Nghi Lộc
430,Tỉnh Nghệ An,Huyện Nam Đàn
431,Tỉnh Nghệ An,Huyện Hưng Nguyên
432,Tỉnh Nghệ An,Thị xã Hoàng Mai
436,Tỉnh Hà Tĩnh,Thành phố Hà Tĩnh
437,Tỉnh Hà Tĩnh,Thị xã Hồng Lĩnh
439,Tỉnh Hà Tĩnh,Huyện Hương Sơn
440,Tỉnh Hà Tĩnh,Huyện Đức Thọ
441,Tỉnh Hà Tĩnh,Huyện Vũ Quang
442,Tỉnh Hà Tĩnh,Huyện Nghi Xuân
443,Tỉnh Hà Tĩnh,Huyện Can Lộc
444,Tỉnh Hà Tĩnh,Huyện Hương Khê
445,Tỉnh Hà Tĩnh,Huyện Thạch Hà
446,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên
447,Tỉnh Hà Tĩnh,Huyện Kỳ Anh
448,Tỉnh Hà Tĩnh,Huyện Lộc Hà
449,Tỉnh Hà Tĩnh,Thị xã Kỳ Anh
450,Tỉnh Quảng Bình,Thành Phố Đồng Hới
452,Tỉnh Quảng Bình,Huyện Minh Hóa
453,Tỉnh Quảng Bình,Huyện Tuyên Hóa
454,Tỉnh Quảng Bình,Huyện Quảng Trạch
455,Tỉnh Quảng Bình,Huyện Bố Trạch
456,Tỉnh Quảng Bình,Huyện Quảng Ninh
457,Tỉnh Quảng Bình,Huyện Lệ Thủy
458,Tỉnh Quảng Bình,Thị xã Ba Đồn
461,Tỉnh Quảng Trị,Thành phố Đông Hà
462,Tỉnh Quảng Trị,Thị xã Quảng Trị
464,Tỉnh Quảng Trị,Huyện Vĩnh Linh
465,Tỉnh Quảng Trị,Huyện Hướng Hóa
466,Tỉnh Quảng Trị,Huyện Gio Linh
467,Tỉnh Quảng Trị,Huyện Đa Krông
468,Tỉnh Quảng Trị,Huyện Cam Lộ
469,Tỉnh Quảng Trị,Huyện Triệu Phong
470,Tỉnh Quảng Trị,Huyện Hải Lăng
471,Tỉnh Quảng Trị,Huyện Cồn Cỏ
474,Tỉnh Thừa Thiên Huế,Thành phố Huế
476,Tỉnh Thừa Thiên Huế,Huyện Phong Điền
477,Tỉnh Thừa Thiên Huế,Huyện Quảng Điền
478,Tỉnh Thừa Thiên Huế,Huyện Phú Vang
479,Tỉnh Thừa Thiên Huế,Thị xã Hương Thủy
480,Tỉnh Thừa Thiên Huế,Thị xã Hương Trà
481,Tỉnh Thừa Thiên Huế,Huyện A Lưới
482,Tỉnh Thừa Thiên Huế,Huyện Phú Lộc
483,Tỉnh Thừa Thiên Huế,Huyện Nam Đông
490,Thành phố Đà Nẵng,Quận Liên Chiểu
491,Thành phố Đà Nẵng,Quận Thanh Khê
492,Thành phố Đà Nẵng,Quận Hải Châu
493,Thành phố Đà Nẵng,Quận Sơn Trà
494,Thành phố Đà Nẵng,Quận Ngũ Hành Sơn
495,Thành phố Đà Nẵng,Quận Cẩm Lệ
497,Thành phố Đà Nẵng,Huyện Hòa Vang
498,Thành phố Đà Nẵng,Huyện Hoàng Sa
502,Tỉnh Quảng Nam,Thành phố Tam Kỳ
503,Tỉnh Quảng Nam,Thành phố Hội An
504,Tỉnh Quảng Nam,Huyện Tây Giang
505,Tỉnh Quảng Nam,Huyện Đông Giang
506,Tỉnh Quảng Nam,Huyện Đại Lộc
507,Tỉnh Quảng Nam,Thị xã Điện Bàn
508,Tỉnh Quảng Nam,Huyện Duy Xuyên
509,Tỉnh Quảng Nam,Huyện Quế Sơn
510,Tỉnh Quảng Nam,Huyện Nam Giang
511,Tỉnh Quảng Nam,Huyện Phước Sơn
512,Tỉnh Quảng Nam,Huyện Hiệp Đức
513,Tỉnh Quảng Nam,Huyện Thăng Bình
514,Tỉnh Quảng Nam,Huyện Tiên Phước
515,Tỉnh Quảng Nam,Huyện Bắc Trà My
516,Tỉnh Quảng Nam,Huyện Nam Trà My
517,Tỉnh Quảng Nam,Huyện Núi Thành
518,Tỉnh Quảng Nam,Huyện Phú Ninh
519,Tỉnh Quảng Nam,Huyện Nông Sơn
522,Tỉnh Quảng Ngãi,Thành phố Quảng Ngãi
524,Tỉnh Quảng Ngãi,Huyện Bình Sơn
525,Tỉnh Quảng Ngãi,Huyện Trà Bồng
527,Tỉnh Quảng Ngãi,Huyện Sơn Tịnh
528,Tỉnh Quảng Ngãi,Huyện Tư Nghĩa
529,Tỉnh Quảng Ngãi,Huyện Sơn Hà
530,Tỉnh Quảng Ngãi,Huyện Sơn Tây
531,Tỉnh Quảng Ngãi,Huyện Minh Long
532,Tỉnh Quảng Ngãi,Huyện Nghĩa Hành
533,Tỉnh Quảng Ngãi,Huyện Mộ Đức
534,Tỉnh Quảng Ngãi,Thị xã Đức Phổ
535,Tỉnh Quảng Ngãi,Huyện Ba Tơ
536,Tỉnh Quảng Ngãi,Huyện Lý Sơn
540,Tỉnh Bình Định,Thành phố Quy Nhơn
542,Tỉnh Bình Định,Huyện An Lão
543,Tỉnh Bình Định,Thị xã Hoài Nhơn
544,Tỉnh Bình Định,Huyện Hoài Ân
545,Tỉnh Bình Định,Huyện Phù Mỹ
546,Tỉnh Bình Định,Huyện Vĩnh Thạnh
547,Tỉnh Bình Định,Huyện Tây Sơn
548,Tỉnh Bình Định,Huyện Phù Cát
549,Tỉnh Bình Định,Thị xã An Nhơn
550,Tỉnh Bình Định,Huyện Tuy Phước
551,Tỉnh Bình Định,Huyện Vân Canh
555,Tỉnh Phú Yên,Thành phố Tuy Hoà
557,Tỉnh Phú Yên,Thị xã Sông Cầu
558,Tỉnh Phú Yên,Huyện Đồng Xuân
559,Tỉnh Phú Yên,Huyện Tuy An
560,Tỉnh Phú Yên,Huyện Sơn Hòa
561,Tỉnh Phú Yên,Huyện Sông Hinh
562,Tỉnh Phú Yên,Huyện Tây Hoà
563,Tỉnh Phú Yên,Huyện Phú Hoà
564,Tỉnh Phú Yên,Thị xã Đông Hòa
568,Tỉnh Khánh Hòa,Thành phố Nha Trang
569,Tỉnh Khánh Hòa,Thành phố Cam Ranh
570,Tỉnh Khánh Hòa,Huyện Cam Lâm
571,Tỉnh Khánh Hòa,Huyện Vạn Ninh
572,Tỉnh Khánh Hòa,Thị xã Ninh Hòa
573,Tỉnh Khánh Hòa,Huyện Khánh Vĩnh
574,Tỉnh Khánh Hòa,Huyện Diên Khánh
575,Tỉnh Khánh Hòa,Huyện Khánh Sơn
576,Tỉnh Khánh Hòa,Huyện Trường Sa
582,Tỉnh Ninh Thuận,Thành phố Phan Rang-Tháp Chàm
584,Tỉnh Ninh Thuận,Huyện Bác Ái
585,Tỉnh Ninh Thuận,Huyện Ninh Sơn
586,Tỉnh Ninh Thuận,Huyện Ninh Hải
587,Tỉnh Ninh Thuận,Huyện Ninh Phước
588,Tỉnh Ninh Thuận,Huyện Thuận Bắc
589,Tỉnh Ninh Thuận,Huyện Thuận Nam
593,Tỉnh Bình Thuận,Thành phố Phan Thiết
594,Tỉnh Bình Thuận,Thị xã La Gi
595,Tỉnh Bình Thuận,Huyện Tuy Phong
596,Tỉnh Bình Thuận,Huyện Bắc Bình
597,Tỉnh Bình Thuận,Huyện Hàm Thuận Bắc
598,Tỉnh Bình Thuận,Huyện Hàm Thuận Nam
599,Tỉnh Bình Thuận,Huyện Tánh Linh
600,Tỉnh Bình Thuận,Huyện Đức Linh
601,Tỉnh Bình Thuận,Huyện Hàm Tân
602,Tỉnh Bình Thuận,Huyện Phú Quí
608,Tỉnh Kon Tum,Thành phố Kon Tum
610,Tỉnh Kon Tum,Huyện Đắk Glei
611,Tỉnh Kon Tum,Huyện Ngọc Hồi
612,Tỉnh Kon Tum,Huyện Đắk Tô
613,Tỉnh Kon Tum,Huyện Kon Plông
614,Tỉnh Kon Tum,Huyện Kon Rẫy
615,Tỉnh Kon Tum,Huyện Đắk Hà
616,Tỉnh Kon Tum,Huyện Sa Thầy
617,Tỉnh Kon Tum,Huyện Tu Mơ Rông
618,Tỉnh Kon Tum,Huyện Ia H' Drai
622,Tỉnh Gia Lai,Thành phố Pleiku
623,Tỉnh Gia Lai,Thị xã An Khê
624,Tỉnh Gia Lai,Thị xã Ayun Pa
625,Tỉnh Gia Lai,Huyện KBang
626,Tỉnh Gia Lai,Huyện Đăk Đoa
627,Tỉnh Gia Lai,Huyện Chư Păh
628,Tỉnh Gia Lai,Huyện Ia Grai
629,Tỉnh Gia Lai,Huyện Mang Yang
630,Tỉnh Gia Lai,Huyện Kông Chro
631,Tỉnh Gia Lai,Huyện Đức Cơ
632,Tỉnh Gia Lai,Huyện Chư Prông
633,Tỉnh Gia Lai,Huyện Chư Sê
634,Tỉnh Gia Lai,Huyện Đăk Pơ
635,Tỉnh Gia Lai,Huyện Ia Pa
637,Tỉnh Gia Lai,Huyện Krông Pa
638,Tỉnh Gia Lai,Huyện Phú Thiện
639,Tỉnh Gia Lai,Huyện Chư Pưh
643,Tỉnh Đắk Lắk,Thành phố Buôn Ma Thuột
644,Tỉnh Đắk Lắk,Thị Xã Buôn Hồ
645,Tỉnh Đắk Lắk,Huyện Ea H'leo
646,Tỉnh Đắk Lắk,Huyện Ea Súp
647,Tỉnh Đắk Lắk,Huyện Buôn Đôn
648,Tỉnh Đắk Lắk,Huyện Cư M'gar
649,Tỉnh Đắk Lắk,Huyện Krông Búk
650,Tỉnh Đắk Lắk,Huyện Krông Năng
651,Tỉnh Đắk Lắk,Huyện Ea Kar
652,Tỉnh Đắk Lắk,Huyện M'Đrắk
653,Tỉnh Đắk Lắk,Huyện Krông Bông
654,Tỉnh Đắk Lắk,Huyện Krông Pắc
655,Tỉnh Đắk Lắk,Huyện Krông A Na
656,Tỉnh Đắk Lắk,Huyện Lắk
657,Tỉnh Đắk Lắk,Huyện Cư Kuin
660,Tỉnh Đắk Nông,Thành phố Gia Nghĩa
661,Tỉnh Đắk Nông,Huyện Đăk Glong
662,Tỉnh Đắk Nông,Huyện Cư Jút
663,Tỉnh Đắk Nông,Huyện Đắk Mil
664,Tỉnh Đắk Nông,Huyện Krông Nô
665,Tỉnh Đắk Nông,Huyện Đắk Song
666,Tỉnh Đắk Nông,Huyện Đắk R'Lấp
667,Tỉnh Đắk Nông,Huyện Tuy Đức
672,Tỉnh Lâm Đồng,Thành phố Đà Lạt
673,Tỉnh Lâm Đồng,Thành phố Bảo Lộc
674,Tỉnh Lâm Đồng,Huyện Đam Rông
675,Tỉnh Lâm Đồng,Huyện Lạc Dương
676,Tỉnh Lâm Đồng,Huyện Lâm Hà
677,Tỉnh Lâm Đồng,Huyện Đơn Dương
678,Tỉnh Lâm Đồng,Huyện Đức Trọng
